0,5
1,7
513,12
515,2
643,0
659,6
691,3
695,7
4791,5
4863,10
6911,0
1024,10
1025,4
1281,2
1283,8
5379,5
7427,3
7431,1
7511,11
7519,6
8031,5
1040,8
1104,2
5200,6
7248,0
7249,2
7257,3
7513,0
7515,5
8027,10
2,12
1026,4
1602,4
1610,3
8043,10
8047,5
16,0
2064,3
2066,0
2578,12
2610,9
2674,6
3698,0
3834,10
3838,12
7934,1
64,5
66,4
1090,6
5186,0
5190,8
5702,12
5718,7
5846,11
5878,11
8182,10
512,11
1536,2
1540,7
1668,0
1732,0
5876,9
5884,2
7933,0
1280,9
1296,0
1300,6
1302,1
1334,7
5430,11
5942,5
6070,5
6142,11
128,8
130,1
2178,1
3203,6
3731,3
3763,1
7859,5
8183,9
2304,8
2368,0
2372,3
2380,3
3406,3
3407,1
3439,3
3951,5
8175,8
528,1
2832,5
3858,4
3859,9
3923,4
2176,5
2184,8
2200,9
2712,5
3736,9
3739,3
4027,6
4,4
1028,1
1124,4
1126,3
1134,9
1262,5
1774,0
6126,5
4354,11
4418,9
4930,6
6978,12
8002,2
8003,3
8035,8
32,11
4128,0
4130,4
4154,8
6266,9
6267,10
7419,11
7931,0
8187,10
516,6
580,4
614,1
870,1
4966,0
6007,11
8055,9
4609,6
4611,12
4747,5
4751,5
4815,0
4847,1
7919,3
8,1
72,3
73,3
329,6
4425,0
4427,1
4555,9
5067,3
4096,11
4160,5
4164,12
5196,0
5326,1
5327,8
7631,7
8143,10
4416,7
6592,1
6596,0
6598,3
6599,9
6607,8
7119,8
320,8
1344,8
1348,3
1364,6
1396,0
5492,2
5494,3
5502,0
7679,3
518,6
774,1
1814,2
1879,8
3927,2
3935,9
256,10
322,7
834,10
874,7
878,2
1918,1
2080,5
2081,7
2083,10
2091,10
2619,7
2875,4
7099,5
7167,2
1537,7
1793,0
1795,0
1959,6
1975,2
6071,9
8119,0
10,2
2186,10
6282,0
6346,4
6350,2
7374,2
7406,3
1088,7
1089,0
1093,8
5189,5
5445,3
8039,11
1056,2
1120,1
1136,6
1137,3
1139,9
3315,0
3319,2
4087,9
1152,0
1156,5
1172,3
1236,2
1244,1
3804,6
3805,9
7901,11
656,11
688,3
944,7
5040,4
5048,1
5052,1
96,6
224,11
2272,8
2788,5
3060,1
3068,4
3070,1
7166,10
2048,12
6144,0
6176,2
6240,1
6248,9
6249,8
6505,9
6509,3
6653,3
7677,0
8189,11
3,2
1027,0
1031,4
1055,10
1087,12
3135,12
3327,6
7935,4
33,8
4129,7
4131,6
6179,8
6307,0
6819,11
6883,1
6887,1
6895,1
24,1
56,2
60,2
62,2
190,0
510,12
1022,0
5118,8
6192,4
6200,1
7224,10
7225,7
7289,2
7545,4
7547,0
17,7
2065,6
2069,3
2071,4
3095,2
3351,5
3383,11
3447,7
