4116,"[-0.78752625 -0.3635186  -0.57681139 -0.83392739 -0.50550142 -0.56799604
 -0.85779185 -0.31846677 -0.7796006  -0.4866593  -0.86198716 -0.20607187
 -0.51127956]"
4148,"[-0.19473201 -0.16251    -0.15666119 -0.87502117 -0.26007324 -0.26381286
 -0.79937343 -0.92590604 -0.08678819 -0.25872646 -0.34657747 -0.16530276
 -0.82337181]"
4276,"[-0.95580386  0.         -0.09007912 -0.12845889 -0.09144013 -0.0473471
 -0.08649104 -0.04981405 -0.16903643 -0.1299112  -0.08428842 -0.10361315
 -0.64587364]"
4532,"[-0.04822552 -0.043415   -0.00680333 -0.97204646  0.         -0.13140336
 -0.16879019  0.          0.         -0.08723869 -0.1403106  -0.17330797
 -0.91610914]"
6069,"[-0.14254224 -0.99905555 -0.04987665 -0.95765134 -0.08996808 -0.18542398
 -0.95088933 -0.14261588 -0.14259439 -0.17489401 -0.14259789 -0.0499911
 -0.99590872]"
6071,"[-0.98160343 -0.99937323 -0.26258677 -0.26410265 -0.21347379 -0.18537865
 -0.99917066 -0.14259602 -0.22526701 -0.30115703 -0.3001189  -0.33450977
 -0.92925077]"
32,"[-0.86666035 -0.86765143 -0.86689575 -0.86784186 -0.87169576 -0.84695816
 -0.86115071 -0.86561134 -0.86441605 -0.86901345 -0.86973474 -0.8621339
 -0.86682589]"
1058,"[-0.75073512 -0.55131773 -0.86019868 -0.39386663 -0.82785247 -0.88227316
 -0.44712166 -0.45644816 -0.84371432 -0.87402947 -0.36180647 -0.37988021
 -0.66597675]"
1186,"[-0.11812153 -0.0618872  -0.12307452 -0.20156588 -0.20039182 -0.19105271
 -0.10458551 -0.2303112  -0.16521917 -0.85689462 -0.84813944 -0.04276917
 -0.75460386]"
1442,"[-0.86887934 -0.08848724 -0.88753219  0.         -0.17356098  0.
 -0.04350792 -0.04582765 -0.11985945 -0.04713973 -0.04771327 -0.22671902
 -0.51071812]"
7591,"[ 0.         -0.09681328 -0.09743323 -0.18534234 -0.18516675 -0.09599598
 -0.14159287 -0.0974987  -0.04980163 -0.04989736 -0.22571578 -0.09749543
 -0.99904761]"
8119,"[-0.99996348 -0.45963956 -0.69258798 -0.99882666 -0.99998262 -0.51229705
 -0.58137774 -0.58187966 -0.97154916 -0.51232434 -0.48665792 -0.53670858
 -0.99896238]"
40,"[-0.81518831 -0.85960078 -0.84621245 -0.84674796 -0.8289468  -0.83935716
 -0.8423349  -0.85831643 -0.82450897 -0.85205481 -0.85842344 -0.85067798
 -0.86615293]"
4136,"[-0.46226146 -0.47668871 -0.41211656 -0.5164754  -0.34610738 -0.3162693
 -0.82638592 -0.89564332 -0.25707341 -0.43051597 -0.83089777 -0.43982162
 -0.84402299]"
4648,"[-0.78870143 -0.82944244 -0.16039395 -0.32255667 -0.26295426 -0.80984176
 -0.18579481 -0.0559053  -0.87662452 -0.86607702  0.         -0.23624191
 -0.83432335]"
4776,"[-0.06755375 -0.17218578 -0.16114435 -0.04212523 -0.0719718  -0.89541287
 -0.09165514 -0.13508974 -0.16717168 -0.88371362 -0.91621249  0.
 -0.91112373]"
6826,"[-0.09554738 -0.09564474 -0.94926388  0.         -0.13930266 -0.09179885
  0.         -0.13989145 -0.09297197 -0.09384601 -0.04921453  0.
 -0.97527413]"
7867,"[-0.99994639 -0.14237742 -0.33655064 -0.22594067 -0.26367217 -0.14234931
 -0.99977342 -0.09715485 -0.30162254 -0.33578033 -0.22620055 -0.2261417
 -0.99918845]"
8123,"[-0.45963328 -0.5818676  -0.5818722  -0.69170973 -0.99998786 -0.3016627
 -0.45892194 -0.48665787 -0.48235163 -0.62252279 -0.43114834 -0.60278568
 -0.99989256]"
16,"[-0.873774   -0.87317382 -0.87711201 -0.87759644 -0.86458926 -0.86641572
 -0.87083969 -0.87319528 -0.8740761  -0.87224812 -0.87337121 -0.87322089
 -0.87333053]"
20,"[-0.84467834 -0.85250055 -0.85274154 -0.84724708 -0.84649118 -0.84773494
 -0.87125938 -0.84156553 -0.84856518 -0.88392246 -0.83529774 -0.8604384
 -0.86252067]"
4244,"[-0.15547988 -0.87673793 -0.08660994 -0.1930062  -0.22744919 -0.88117466
 -0.06841829 -0.12776357 -0.11685523 -0.83968888 -0.88986911 -0.04518673
 -0.78271392]"
4246,"[-0.81721876  0.         -0.0897671  -0.1389652   0.         -0.12271904
 -0.08783421 -0.12085238  0.         -0.14040209 -0.07841163 -0.16683046
 -0.81925582]"
4247,"[-0.95087706  0.          0.         -0.08500139 -0.04699645 -0.08313478
  0.         -0.043743   -0.09175119 -0.09400121 -0.09167858 -0.09335673
 -0.86818538]"
4767,"[-0.97742225  0.         -0.0920412  -0.05        0.          0.
 -0.03214511 -0.09605085 -0.17677073 -0.09471122 -0.14179382 -0.04761843
 -0.96489918]"
4799,"[-0.94677258 -0.94950579 -0.05       -0.97540593 -0.04926158 -0.09716081
 -0.18155799 -0.04999999 -0.09748864 -0.99165769 -0.04999719 -0.18313599
 -0.98473472]"
1,"[-0.85504078 -0.86663764 -0.86773146 -0.86769107 -0.86864231 -0.86971138
 -0.86873887 -0.87066843 -0.86988842 -0.8698834  -0.87086899 -0.87486112
 -0.85129773]"
4097,"[-0.86163114 -0.82529159 -0.85802712 -0.85525547 -0.8395489  -0.8422892
 -0.8556531  -0.83679392 -0.85745873 -0.81207398 -0.85968193 -0.84166681
 -0.84220046]"
5121,"[-0.49095972 -0.84797649 -0.85653668 -0.38887608 -0.53333888 -0.8637686
 -0.80908562 -0.43516565 -0.83017141 -0.43080225 -0.81532977 -0.37439667
 -0.44842467]"
5125,"[-0.11801022 -0.08331373 -0.23587775 -0.26079804 -0.29789532 -0.12812614
 -0.12500414 -0.9121729  -0.0815594  -0.20172743 -0.66423771 -0.13309391
 -0.88231817]"
5253,"[-0.08186183 -0.12603808 -0.22451547 -0.24508856 -0.08777982 -0.12778207
 -0.88548893 -0.0486929  -0.19952361 -0.9043884  -0.04352185 -0.17026721
 -0.78747473]"
5309,"[-0.08101561 -0.02292439 -0.99400918  0.         -0.04895408  0.
 -0.04987483 -0.13627589  0.         -0.09422276 -0.04916457 -0.18416929
 -0.98857025]"
5567,"[-0.95473744 -0.99466396 -0.30165271 -0.22588678 -0.99985725 -0.99969136
 -0.14197165 -0.95308144 -0.18547242 -0.22592552 -0.18539313 -0.14261116
 -0.99471117]"
1024,"[-0.87256718 -0.86278234 -0.8680021  -0.87198371 -0.8716501  -0.87192747
 -0.87074787 -0.87658679 -0.85061499 -0.85442069 -0.87103046 -0.87332893
 -0.87139466]"
1040,"[-0.84176024 -0.85111926 -0.85112491 -0.86017546 -0.86055039 -0.84621455
 -0.86023224 -0.86796995 -0.85378126 -0.87286241 -0.83198756 -0.88050933
 -0.83130047]"
1168,"[-0.81226327 -0.51628879 -0.5742808  -0.62402872 -0.87294669 -0.24978883
 -0.49565435 -0.40332413 -0.43191174 -0.34827973 -0.57291325 -0.5096931
 -0.67683907]"
3216,"[-0.86715605 -0.84810071 -0.2725361  -0.29042598 -0.18585698 -0.34210961
 -0.2626332  -0.83909324 -0.918867   -0.03974125 -0.269888   -0.12109272
 -0.78093418]"
3218,"[-0.19643624 -0.1402027  -0.8660781  -0.08748547 -0.09214679 -0.16999468
 -0.06986815 -0.08734739 -0.86529387 -0.08990226 -0.93507935  0.
 -0.86461937]"
3250,"[-0.92328267  0.         -0.04029409 -0.04526794 -0.12127826 -0.04628263
 -0.1383909  -0.1338076  -0.09237698 -0.04806328  0.         -0.04612837
 -0.86057108]"
7351,"[-0.99766856 -0.04999342 -0.14246605 -0.04996538 -0.99520999 -0.049748
 -0.09730775 -0.09422779 -0.99067739 -0.04834451 -0.05       -0.14259085
 -0.97965981]"
7415,"[-0.9994687  -0.26441043 -0.99858937 -0.22616644 -0.30138105 -0.45915907
 -0.30165069 -0.41574922 -0.98920962 -0.98915193 -0.18534364 -0.26473297
 -0.97514483]"
7423,"[-0.99999962 -0.99999862 -0.43119926 -0.51231305 -0.60278405 -0.65601212
 -0.48659319 -0.45937412 -0.99999296 -0.43116883 -0.45963574 -0.53670877
 -0.88489807]"
6144,"[-0.86692325 -0.87895767 -0.87965965 -0.83212595 -0.84364819 -0.85767293
 -0.85555466 -0.85348654 -0.84412323 -0.85115549 -0.8682992  -0.85619919
 -0.86169873]"
6176,"[-0.82139157 -0.73744562 -0.44903282 -0.47221353 -0.83609434 -0.51638894
 -0.85082368 -0.86534014 -0.42486211 -0.86085551 -0.48744362 -0.53665941
 -0.45197054]"
6688,"[-0.19292125 -0.87242581 -0.85215911 -0.18821478 -0.90479055 -0.13204654
 -0.28270948 -0.23004304 -0.89107069 -0.12877274 -0.21800777 -0.22169165
 -0.85394775]"
6752,"[-0.93300602 -0.08865301 -0.92228792  0.         -0.04667564 -0.28265448
 -0.18493171 -0.08233922 -0.07950611 -0.20514391 -0.12663606 -0.04490409
 -0.86530088]"
6880,"[-0.93469706 -0.94587153  0.          0.          0.         -0.04401475
 -0.13439976 -0.04592415  0.         -0.16531291 -0.04643878 -0.08865222
 -0.76155855]"
6890,"[-0.97913461 -0.04887558 -0.95678625 -0.14251118 -0.04653374 -0.03008704
 -0.95617979  0.         -0.0964387  -0.04904829 -0.14950056 -0.04414942
 -0.9700548 ]"
7146,"[-0.04998975 -0.09612864 -0.09505464 -0.18536559 -0.39042536 -0.04894884
 -0.14253694 -0.14240642 -0.18279061 -0.14261414 -0.22326295 -0.04999992
 -0.99572831]"
8170,"[-0.3975813  -0.99939135 -0.14247788 -0.22621828 -0.9996999  -0.22619539
 -0.99346681 -0.99914873 -0.26477667 -0.99985033 -0.14139992 -0.2262182
 -0.92902034]"
4,"[-0.87167491 -0.87036823 -0.87091728 -0.87291116 -0.8727441  -0.86991304
 -0.86925734 -0.85101503 -0.86238417 -0.86245266 -0.86592463 -0.86882373
 -0.86910436]"
68,"[-0.85929497 -0.85795864 -0.8470209  -0.84265116 -0.847465   -0.85154965
 -0.85899382 -0.82875817 -0.83416339 -0.83542025 -0.85946868 -0.86506765
 -0.85194618]"
76,"[-0.51268701 -0.7683603  -0.84359325 -0.37686314 -0.80067942 -0.35743607
 -0.80435784 -0.52535755 -0.4207697  -0.48929023 -0.4934239  -0.54484175
 -0.63400378]"
204,"[-0.7903015  -0.84573612 -0.77887442 -0.12332108 -0.21448183 -0.83985851
 -0.15031508 -0.90097418 -0.08261452 -0.82887399 -0.71615986 -0.1102317
 -0.52512472]"
3021,"[ 0.         -0.04865797 -0.14219043 -0.04957887 -0.09300551 -0.09554942
  0.         -0.09572733 -0.09130329 -0.04968022 -0.0480218   0.
 -0.97249169]"
7117,"[-0.94379677 -0.26473959 -0.09744356 -0.7791306  -0.92180324 -0.05
 -0.99225824 -0.96383535  0.         -0.0960132  -0.0974072  -0.14080598
 -0.9484888 ]"
8141,"[-0.99903704 -0.99969735 -0.05       -0.3365567  -0.30152353 -0.1426057
 -0.14262351 -0.22560385 -0.1854744  -0.99996642 -0.04937061 -0.22614487
 -0.99630368]"
8189,"[-0.99906407 -0.99953144 -0.9992021  -0.9994256  -0.99917201 -0.9994938
 -0.99926675 -0.99855557 -0.9991471  -0.97939467 -0.99708238 -0.99901116
 -0.9990924 ]"
7168,"[-0.84215633 -0.5049886  -0.88811163 -0.28687149 -0.46863552 -0.81930548
 -0.46276694 -0.36797911 -0.4931676  -0.49649161 -0.5235074  -0.45444685
 -0.58702392]"
7424,"[-0.16024217 -0.90623283 -0.12809699 -0.18164922 -0.23474316 -0.91235843
 -0.08349219 -0.89266079 -0.85078615 -0.12646273 -0.26438525 -0.35688306
 -0.88774558]"
7552,"[-0.93681015  0.         -0.17299733  0.         -0.07487905 -0.16835818
 -0.08868983 -0.047673   -0.08775849  0.         -0.05761309 -0.14624152
 -0.91437549]"
7584,"[-0.94884915  0.         -0.09184291 -0.06960065 -0.04802493 -0.06699517
 -0.04130138 -0.04759719 -0.04981259 -0.0478023  -0.04468389 -0.04814279
 -0.92118324]"
7600,"[-0.05       -0.04961562 -0.0488312  -0.13277159 -0.0488968  -0.04920753
 -0.97439255  0.         -0.13830133 -0.04809404 -0.04987634 -0.04970888
 -0.92351881]"
7676,"[-0.18510628 -0.33526958 -0.99794005 -0.31040095 -0.22621217 -0.99799206
 -0.33654768 -0.26484901 -0.99996896 -0.04999912 -0.3016178  -0.26490498
 -0.99919472]"
7677,"[-0.98112212 -0.26490811 -0.42926043 -0.5123096  -0.99996377 -0.33657956
 -0.45957412 -0.40126306 -0.62264608 -0.65927456 -0.43119145 -0.40124455
 -0.99671049]"
1296,"[-0.87008662 -0.49351326 -0.6954365  -0.81037861 -0.81850881 -0.40504421
 -0.74250728 -0.56382086 -0.87028841 -0.8911033  -0.35279095 -0.54864309
 -0.49072023]"
3474,"[-0.13414937 -0.13620849 -0.9711554   0.         -0.12450828 -0.16573759
 -0.18000189 -0.0466772  -0.0484838  -0.04742914  0.         -0.21107807
 -0.88843909]"
3986,"[ 0.         -0.096481   -0.09674313 -0.04830911 -0.04843395 -0.1796844
 -0.13803931 -0.04813085 -0.09425911  0.         -0.09539332  0.
 -0.98482832]"
8115,"[-0.22619357 -0.97444261 -0.33492014 -0.30165252 -0.36974337 -0.36801361
 -0.33585605 -0.26472157 -0.18529076 -0.99971533 -0.14260072 -0.30140588
 -0.99911479]"
8179,"[-0.99837085 -0.83387316 -0.73647163 -0.53670877 -0.99999313 -0.58132569
 -0.65938345 -0.48665788 -0.99999906 -0.53392516 -0.99999888 -0.40125169
 -0.99844762]"
640,"[-0.83998336 -0.88266724 -0.82338925 -0.8659986  -0.85953826 -0.84040781
 -0.86661182 -0.85273306 -0.85225926 -0.84111605 -0.86270756 -0.84735247
 -0.8434072 ]"
656,"[-0.50377368 -0.66625568 -0.81388282 -0.89098251 -0.41437487 -0.85443425
 -0.47306038 -0.84089033 -0.87704189 -0.510345   -0.84114514 -0.47368966
 -0.46361372]"
912,"[-0.25670573 -0.39776698 -0.28407954 -0.88840409 -0.29236038 -0.16837632
 -0.88852326 -0.15995538 -0.89682425 -0.16610382 -0.33797535 -0.18456013
 -0.79520227]"
920,"[-0.77146106 -0.87077638 -0.83923725 -0.08800472 -0.13107537 -0.88021905
 -0.04859448 -0.92533771  0.         -0.04735328  0.         -0.08254293
 -0.7781503 ]"
922,"[-0.28290106 -0.01040243 -0.94039859  0.         -0.08571128 -0.09305396
 -0.14916289 -0.04567774  0.          0.         -0.08336662 -0.17704985
 -0.94834518]"
1018,"[-0.04992435 -0.09678262 -0.09524195 -0.0952959  -0.09593164 -0.13315108
 -0.09527713 -0.13982301 -0.09583893 -0.04850932 -0.94768162  0.
 -0.94476002]"
1023,"[-0.95344194 -0.99645818 -0.33652533 -0.14262479 -0.26229044 -0.99991702
 -0.18547481 -0.99888912 -0.98936668 -0.14258029 -0.85751252 -0.14262265
 -0.68539808]"
5119,"[-0.45963991 -0.99999907 -0.30164632 -0.55987303 -0.53670834 -0.62261388
 -0.48665792 -0.99987739 -0.36970904 -0.36975052 -0.65929839 -0.60146489
 -0.99774767]"
2,"[-0.86999594 -0.86964732 -0.87070837 -0.87189303 -0.87334109 -0.87157766
 -0.87247766 -0.87128478 -0.87182378 -0.86905031 -0.87233085 -0.85454239
 -0.86133524]"
10,"[-0.84527805 -0.85831861 -0.81912051 -0.82458625 -0.84348717 -0.85968038
 -0.85529061 -0.85706189 -0.83680438 -0.85967323 -0.85575573 -0.82800921
 -0.84827001]"
11,"[-0.83386223 -0.5163573  -0.82841678 -0.82976757 -0.24576567 -0.55352175
 -0.45630908 -0.8058985  -0.420359   -0.83716388 -0.28195206 -0.58032137
 -0.81117475]"
